MTT,substance
0.044,DMSO
0.043,DMSO
0.047,DMSO
1.119,control
1.008,control
0.782,control
0.88,neoton1
0.95,neoton1
0.848,neoton1
0.854,neoton10
0.85,neoton10
0.911,neoton10
0.913,unifusol2
0.966,unifusol2
0.873,unifusol2
0.957,unifusol20
1.352,unifusol20
1.078,unifusol20
0.908,PBS20
0.943,PBS20
1.122,PBS20
